run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,1,0,152,0.016965446907898026,13.4
2,10000003,88,121,73.8,worker,1,0,151,1.4216132872188699e-9,13.100000000000001
3,10000003,88,121,73.8,worker,2,0,169,0.00505869733740067,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.0002135010779234498,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.0005522851132715072,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,7.169125469043903e-7,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.0006400352429770954,15.5
8,10000003,88,121,73.8,resident,0,1,59,2.890070868597652e-10,12.5
9,10000003,88,121,73.8,resident,1,12,78,0.12854185024942433,14.5
10,10000003,88,121,73.8,resident,0,1,25,3.42023292453684e-5,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.0004046545464817628,14.4
12,10000003,88,121,73.8,worker,1,0,127,4.405605117434064e-5,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,4.696158668571722e-19,14.600000000000001
14,10000003,88,121,73.8,resident,0,1,15,0.0037597876893338766,12.200000000000001
15,10000003,88,121,73.8,worker,5,1,157,0.1425081059760757,11.9
16,10000003,88,121,73.8,worker,1,0,165,0.004648023049433254,14.600000000000001
17,10000003,88,121,73.8,worker,4,1,198,0.1790196287560547,16.400000000000002
18,10000003,88,121,73.8,resident,0,3,73,0.01489506841547076,13.3
19,10000003,88,121,73.8,worker,1,0,107,8.6602429207719e-7,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,2.592565415490924e-10,16.0
21,10000003,88,121,73.8,worker,4,0,112,0.10773033743404842,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,1.7225442524895853e-12,14.100000000000001
23,10000003,88,121,73.8,resident,1,7,56,0.07759733379788124,15.100000000000001
24,10000003,88,121,73.8,worker,1,0,151,0.018951214658066658,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.013712669860663051,10.0
26,10000003,88,121,73.8,worker,1,0,119,4.168663170599735e-7,12.8
27,10000003,88,121,73.8,worker,1,0,109,0.026281388247903312,16.0
28,10000003,88,121,73.8,worker,1,0,175,0.01272257277050265,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,2.8603912724760726e-7,15.5
30,10000003,88,121,73.8,resident,0,2,42,0.0039544483920957016,18.3
31,10000003,88,121,73.8,worker,1,0,170,1.850816460589314e-5,13.200000000000001
32,10000003,88,121,73.8,worker,1,0,154,0.07519701599009142,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.00010196258471238406,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.002491266577035411,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,8.570955378110169e-5,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,7.532825953301272e-7,19.200000000000003
37,10000003,88,121,73.8,worker,5,1,136,0.39004494050349053,11.9
38,10000003,88,121,73.8,worker,1,0,162,1.1292521276102874e-5,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.000520342749157373,11.9
40,10000003,88,121,73.8,worker,1,0,177,0.01718204065885967,13.200000000000001
41,10000003,88,121,73.8,resident,0,12,68,0.15407475946003138,15.3
42,10000003,88,121,73.8,worker,2,1,102,0.09222588407284515,13.3
43,10000003,88,121,73.8,worker,1,0,170,8.031253680706991e-6,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,3.929590671295317e-6,11.200000000000001
45,10000003,88,121,73.8,worker,1,0,142,0.015671028142215604,9.3
46,10000003,88,121,73.8,resident,0,1,4,0.00041878428895092667,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,4.471756825809258e-14,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,6.346300518036742e-8,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.0022839483415171254,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,1.8288881641847366e-5,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.00037204513890660865,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.001587954762178295,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.00023164405077034638,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.012718130038627233,9.5
