run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,2,1,152,0.15268902217108227,13.4
2,10000003,88,121,73.8,worker,1,0,151,1.2794519584969833e-8,13.100000000000001
3,10000003,88,121,73.8,worker,1,2,169,0.045528276036606044,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.0019215097013110488,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.004970566019443566,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,6.452212922139514e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.005760317186793859,15.5
8,10000003,88,121,73.8,resident,0,1,59,2.6010637817378874e-9,12.5
9,10000003,88,121,73.8,resident,5,18,78,1.1568766522448193,14.5
10,10000003,88,121,73.8,resident,0,1,25,0.0003078209632083156,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.0036418909183358657,14.4
12,10000003,88,121,73.8,worker,1,0,127,0.00039650446056906585,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,4.22654280171455e-18,14.600000000000001
14,10000003,88,121,73.8,resident,1,1,15,0.0338380892040049,12.200000000000001
15,10000003,88,121,73.8,worker,16,8,157,1.2825729537846815,11.9
16,10000003,88,121,73.8,worker,2,0,165,0.04183220744489929,14.600000000000001
17,10000003,88,121,73.8,worker,13,8,198,1.6111766588044927,16.400000000000002
18,10000003,88,121,73.8,resident,0,2,73,0.13405561573923686,13.3
19,10000003,88,121,73.8,worker,1,0,107,7.794218628694711e-6,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,2.3333088739418322e-9,16.0
21,10000003,88,121,73.8,worker,21,8,112,0.9695730369064358,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,1.550289827240627e-11,14.100000000000001
23,10000003,88,121,73.8,resident,4,10,56,0.6983760041809314,15.100000000000001
24,10000003,88,121,73.8,worker,4,2,151,0.17056093192259997,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.12341402874596748,10.0
26,10000003,88,121,73.8,worker,1,0,119,3.751796853539762e-6,12.8
27,10000003,88,121,73.8,worker,6,2,109,0.23653249423112982,16.0
28,10000003,88,121,73.8,worker,1,0,175,0.11450315493452386,11.200000000000001
29,10000003,88,121,73.8,worker,1,0,112,2.5743521452284658e-6,15.5
30,10000003,88,121,73.8,resident,0,2,42,0.035590035528861315,18.3
31,10000003,88,121,73.8,worker,1,0,170,0.00016657348145303832,13.200000000000001
32,10000003,88,121,73.8,worker,9,1,154,0.6767731439108229,12.700000000000001
33,10000003,88,121,73.8,worker,1,0,140,0.0009176632624114567,11.600000000000001
34,10000003,88,121,73.8,worker,1,0,139,0.022421399193318703,15.100000000000001
35,10000003,88,121,73.8,worker,1,0,193,0.0007713859840299154,13.700000000000001
36,10000003,88,121,73.8,worker,1,0,160,6.779543357971146e-6,19.200000000000003
37,10000003,88,121,73.8,worker,16,5,136,3.510404464531416,11.9
38,10000003,88,121,73.8,worker,1,0,162,0.00010163269148492588,10.9
39,10000003,88,121,73.8,worker,1,0,121,0.004683084742416357,11.9
40,10000003,88,121,73.8,worker,2,0,177,0.15463836592973706,13.200000000000001
41,10000003,88,121,73.8,resident,6,24,68,1.3866728351402828,15.3
42,10000003,88,121,73.8,worker,8,2,102,0.8300329566556065,13.3
43,10000003,88,121,73.8,worker,1,0,170,7.228128312636294e-5,12.100000000000001
44,10000003,88,121,73.8,worker,1,0,168,3.5366316041657864e-5,11.200000000000001
45,10000003,88,121,73.8,worker,1,0,142,0.14103925327994046,9.3
46,10000003,88,121,73.8,resident,0,1,4,0.0037690586005583405,9.200000000000001
47,10000003,88,121,73.8,worker,1,0,140,4.0245811432283334e-13,9.200000000000001
48,10000003,88,121,73.8,worker,1,0,130,5.711670466233068e-7,10.9
49,10000003,88,121,73.8,resident,0,1,20,0.02055553507365413,10.700000000000001
50,10000003,88,121,73.8,worker,1,0,185,0.00016459993477662633,19.1
51,10000003,88,121,73.8,worker,1,0,207,0.0033484062501594786,11.4
52,10000003,88,121,73.8,worker,1,0,187,0.014291592859604657,13.100000000000001
53,10000003,88,121,73.8,worker,1,0,158,0.0020847964569331175,11.700000000000001
54,10000003,88,121,73.8,worker,2,0,152,0.11446317034764511,9.5
55,10000003,88,121,73.8,resident,0,5,44,0.11536756681680616,16.1
56,10000003,88,121,73.8,resident,1,2,73,0.2370495897316741,12.600000000000001
