beta,R_est
0.01,0.524
0.015,0.78
0.02,1.047
0.025,1.251
0.03,1.444
0.035,1.657
0.04,1.836
0.045,2.011
0.05,2.198
0.055,2.361
0.06,2.541
0.065,2.716
0.07,2.86
0.075,3.029
0.08,3.167
0.085,3.319
0.09,3.443
0.095,3.629
0.1,3.743
0.105,3.867
0.11,4.01
0.115,4.147
0.12,4.315
0.125,4.412
0.13,4.527
0.135,4.656
0.14,4.773
0.145,4.84
0.15,4.971
0.155,5.065
0.16,5.152
0.165,5.261
0.17,5.35
0.175,5.424
0.18,5.524
0.185,5.588
0.19,5.657
0.195,5.78
0.2,5.837
