run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,I_tot_staff,I_tot_res,index_case_id,index_case_beta_max,t_index_case_recovery
1,10000003,88,121,73.8,worker,1,0,152,0.036758468300445726,13.4
2,10000003,88,121,73.8,worker,1,0,151,3.0801621223075516e-9,13.100000000000001
3,10000003,88,121,73.8,worker,2,0,169,0.010960510897701453,13.200000000000001
4,10000003,88,121,73.8,resident,0,1,10,0.00046258566883414134,10.9
5,10000003,88,121,73.8,worker,1,0,111,0.001196617745421599,10.200000000000001
6,10000003,88,121,73.8,worker,1,0,157,1.5533105182928458e-6,9.1
7,10000003,88,121,73.8,worker,1,0,122,0.0013867430264503735,15.5
8,10000003,88,121,73.8,resident,0,1,59,6.261820215294914e-10,12.5
9,10000003,88,121,73.8,resident,3,24,78,0.27850734220708606,14.5
10,10000003,88,121,73.8,resident,0,1,25,7.41050466982982e-5,12.3
11,10000003,88,121,73.8,worker,1,0,124,0.0008767515173771527,14.4
12,10000003,88,121,73.8,worker,1,0,127,9.545477754440474e-5,10.700000000000001
13,10000003,88,121,73.8,worker,1,0,140,1.0175010448572067e-18,14.600000000000001
14,10000003,88,121,73.8,resident,0,1,15,0.008146206660223402,12.200000000000001
15,10000003,88,121,73.8,worker,7,3,157,0.30876756294816404,11.9
16,10000003,88,121,73.8,worker,1,0,165,0.010070716607105384,14.600000000000001
17,10000003,88,121,73.8,worker,7,3,198,0.3878758623047852,16.400000000000002
18,10000003,88,121,73.8,resident,0,5,73,0.03227264823351998,13.3
19,10000003,88,121,73.8,worker,1,0,107,1.876385966167245e-6,11.100000000000001
20,10000003,88,121,73.8,worker,1,0,125,5.617225066897002e-10,16.0
21,10000003,88,121,73.8,worker,4,2,112,0.23341573110710492,15.200000000000001
22,10000003,88,121,73.8,worker,1,0,181,3.732179213727435e-12,14.100000000000001
23,10000003,88,121,73.8,resident,1,16,56,0.16812755656207606,15.100000000000001
24,10000003,88,121,73.8,worker,1,0,151,0.041060965092477766,14.8
25,10000003,88,121,73.8,worker,1,0,144,0.02971078469810328,10.0
26,10000003,88,121,73.8,worker,1,0,119,9.032103536299427e-7,12.8
27,10000003,88,121,73.8,worker,1,2,109,0.056943007870457175,16.0
