beta,R_est
0.025,1.251
0.05,2.198
0.075,3.029
0.1,3.743
0.125,4.412
0.15,4.971
0.175,5.424
0.2,5.837
0.225,6.306
0.25,6.722
0.275,7.128
0.3,7.447
0.325,7.801
0.35,8.087
0.375,8.399
0.4,8.683
0.425,8.998
0.45,9.208
0.475,9.449
0.5,9.671
