beta,R_est
0.01,0.224
0.015,0.338
0.02,0.451
0.025,0.549
0.03,0.643
0.035,0.722
0.04,0.807
0.045,0.893
0.05,0.993
0.055,1.095
0.06,1.165
0.065,1.267
0.07,1.335
0.075,1.425
0.08,1.494
0.085,1.572
0.09,1.646
0.095,1.721
0.1,1.778
0.105,1.869
0.11,1.948
0.115,1.998
0.12,2.057
0.125,2.118
0.13,2.17
0.135,2.236
0.14,2.327
0.145,2.365
0.15,2.424
0.155,2.471
0.16,2.531
0.165,2.566
0.17,2.603
0.175,2.652
0.18,2.751
0.185,2.791
0.19,2.853
0.195,2.941
0.2,2.973
