duration,frequency
0,0.002
5,0.092
10,0.302
15,0.166
20,0.148
25,0.151
30,0.063
35,0.039
40,0.022
45,0.013
50,0.002
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
