duration,frequency
0,0
5,0.074
10,0.33
15,0.292
20,0.19
25,0.074
30,0.025
35,0.009
40,0.004
45,0.002
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
