duration,frequency
0,0.001
5,0.073
10,0.204
15,0.079
20,0.131
25,0.183
30,0.114
35,0.091
40,0.048
45,0.033
50,0.025
55,0.009
60,0.004
65,0.002
70,0.001
75,0.001
80,0
85,0
90,0
95,0.001
