duration,frequency
0,0.002
5,0.095
10,0.257
15,0.153
20,0.154
25,0.148
30,0.088
35,0.058
40,0.025
45,0.008
50,0.008
55,0.001
60,0.002
65,0
70,0.001
75,0
80,0
85,0
90,0
95,0
