duration,frequency
0,0
5,0.168
10,0.375
15,0.171
20,0.136
25,0.093
30,0.03
35,0.016
40,0.009
45,0.001
50,0.001
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
