max_FTE_def,frequency
0,0.206
2,0.256
4,0.205
6,0.13
8,0.089
10,0.058
12,0.03
14,0.015
16,0.007
18,0.002
20,0.001
22,0.001
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
