duration,frequency
0,0.003
5,0.171
10,0.34
15,0.171
20,0.143
25,0.091
30,0.034
35,0.028
40,0.011
45,0.005
50,0.003
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
