duration,frequency
0,0
5,0.059
10,0.148
15,0.194
20,0.247
25,0.198
30,0.089
35,0.039
40,0.012
45,0.011
50,0.002
55,0.001
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
