max_FTE_def,frequency
0,0.361
2,0.321
4,0.164
6,0.067
8,0.044
10,0.026
12,0.009
14,0.004
16,0.003
18,0.001
20,0
22,0
24,0
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
