duration,frequency
0,0.001
5,0.053
10,0.105
15,0.048
20,0.114
25,0.194
30,0.152
35,0.152
40,0.067
45,0.056
50,0.024
55,0.018
60,0.006
65,0.002
70,0.005
75,0.003
80,0
85,0
90,0
95,0
