duration,frequency
0,0.003
5,0.096
10,0.252
15,0.127
20,0.156
25,0.145
30,0.087
35,0.071
40,0.028
45,0.016
50,0.009
55,0.005
60,0.002
65,0.001
70,0.001
75,0.001
80,0
85,0
90,0
95,0
