max_FTE_def,frequency
0,0.203
2,0.257
4,0.214
6,0.121
8,0.099
10,0.045
12,0.043
14,0.011
16,0.003
18,0.001
20,0.001
22,0.001
24,0.001
26,0
28,0
30,0
32,0
34,0
36,0
38,0
40,0
42,0
44,0
46,0
48,0
