duration,frequency
0,0.001
5,0.056
10,0.199
15,0.201
20,0.276
25,0.143
30,0.089
35,0.016
40,0.011
45,0.007
50,0.001
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
