duration,frequency
0,0.002
5,0.203
10,0.44
15,0.143
20,0.116
25,0.06
30,0.022
35,0.011
40,0.003
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
