duration,frequency
0,0
5,0.05
10,0.08
15,0.053
20,0.137
25,0.188
30,0.176
35,0.128
40,0.074
45,0.046
50,0.035
55,0.017
60,0.007
65,0.005
70,0.003
75,0.001
80,0
85,0
90,0
95,0
