duration,frequency
0,0
5,0.128
10,0.408
15,0.278
20,0.129
25,0.039
30,0.016
35,0.001
40,0.001
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
