duration,frequency
0,0.001
5,0.08
10,0.287
15,0.292
20,0.203
25,0.096
30,0.029
35,0.008
40,0.003
45,0
50,0.001
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
