duration,frequency
0,0.001
5,0.154
10,0.465
15,0.228
20,0.115
25,0.031
30,0.005
35,0.001
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
