duration,frequency
0,0.002
5,0.072
10,0.156
15,0.084
20,0.105
25,0.177
30,0.138
35,0.099
40,0.072
45,0.031
50,0.032
55,0.017
60,0.007
65,0.006
70,0
75,0.002
80,0
85,0
90,0
95,0
