Row,R0,lambda,p_outbreak,cum_I_q50,OB_duration_q50,peak_FTE_def_q50,cum_Res_Iso_q50,t_declare_q50,t_first_case_q50
R0_2.4_CR_3.0_LD_0.0,2.4,3,0.181488203266788,36,17,7,16,15.1,7.1
R0_2.4_CR_6.0_LD_0.0,2.4,6,0.174733531364669,41,24,4.5,25,14.1,7.1
R0_2.4_CR_10.0_LD_0.0,2.4,10,0.170706725844998,48,26,3.4,37,13.1,7.1
R0_2.4_CR_20.0_LD_0.0,2.4,20,0.16926201760325,69.5,29,2.2,62,12.1,7.1
R0_2.4_CR_30.0_LD_0.0,2.4,30,0.161733786187935,77,29,1.6,72,11.1,7.1
